chromeos1-row1-rack10-host1-servo,chromeos1-poe-switch5,fa1
chromeos1-row1-rack10-host2-servo,chromeos1-poe-switch5,fa25
chromeos1-row1-rack10-host3-servo,chromeos1-poe-switch5,fa26
chromeos1-row1-rack10-host4-servo,chromeos1-poe-switch5,fa27
chromeos1-row1-rack10-host5-servo,chromeos1-poe-switch5,fa29
chromeos1-row1-rack10-host6-servo,chromeos1-poe-switch5,fa30
chromeos1-row1-rack11-host1-servo,chromeos1-poe-switch5,fa7
chromeos1-row1-rack11-host2-servo,chromeos1-poe-switch5,fa8
chromeos1-row1-rack11-host3-servo,chromeos1-poe-switch5,fa33
chromeos1-row1-rack11-host4-servo,chromeos1-poe-switch5,fa34
chromeos1-row1-rack11-host5-servo,chromeos1-poe-switch5,fa35
chromeos1-row1-rack11-host6-servo,chromeos1-poe-switch5,fa36
chromeos1-row1-rack1-host1-servo,chromeos1-poe-switch1,fa25
chromeos1-row1-rack1-host2-servo,chromeos1-poe-switch1,fa26
chromeos1-row1-rack1-host3-servo,chromeos1-poe-switch1,fa27
chromeos1-row1-rack1-host4-servo,chromeos1-poe-switch1,fa28
chromeos1-row1-rack1-host5-servo,chromeos1-poe-switch1,fa29
chromeos1-row1-rack1-host6-servo,chromeos1-poe-switch1,fa30
chromeos1-row1-rack2-host1-servo,chromeos1-poe-switch1,fa31
chromeos1-row1-rack2-host2-servo,chromeos1-poe-switch1,fa32
chromeos1-row1-rack2-host3-servo,chromeos1-poe-switch1,fa33
chromeos1-row1-rack2-host4-servo,chromeos1-poe-switch1,fa34
chromeos1-row1-rack2-host5-servo,chromeos1-poe-switch1,fa37
chromeos1-row1-rack2-host6-servo,chromeos1-poe-switch1,fa38
chromeos1-row1-rack3-host1-servo,chromeos1-poe-switch2,fa25
chromeos1-row1-rack3-host2-servo,chromeos1-poe-switch2,fa26
chromeos1-row1-rack3-host3-servo,chromeos1-poe-switch2,fa27
chromeos1-row1-rack3-host4-servo,chromeos1-poe-switch2,fa28
chromeos1-row1-rack3-host5-servo,chromeos1-poe-switch2,fa29
chromeos1-row1-rack3-host6-servo,chromeos1-poe-switch2,fa30
chromeos1-row1-rack4-host1-servo,chromeos1-poe-switch2,fa31
chromeos1-row1-rack4-host2-servo,chromeos1-poe-switch2,fa32
chromeos1-row1-rack4-host3-servo,chromeos1-poe-switch2,fa33
chromeos1-row1-rack4-host4-servo,chromeos1-poe-switch2,fa34
chromeos1-row1-rack4-host5-servo,chromeos1-poe-switch2,fa35
chromeos1-row1-rack4-host6-servo,chromeos1-poe-switch2,fa36
chromeos1-row1-rack5-host1-servo,chromeos1-poe-switch3,
chromeos1-row1-rack5-host2-servo,chromeos1-poe-switch3,
chromeos1-row1-rack5-host3-servo,chromeos1-poe-switch3,
chromeos1-row1-rack5-host4-servo,chromeos1-poe-switch3,
chromeos1-row1-rack5-host5-servo,chromeos1-poe-switch3,
chromeos1-row1-rack5-host6-servo,chromeos1-poe-switch3,
chromeos1-row1-rack6-host1-servo,chromeos1-poe-switch3,
chromeos1-row1-rack6-host2-servo,chromeos1-poe-switch3,
chromeos1-row1-rack6-host3-servo,chromeos1-poe-switch3,
chromeos1-row1-rack6-host4-servo,chromeos1-poe-switch3,
chromeos1-row1-rack7-host1-servo,chromeos1-poe-switch3,fa31
chromeos1-row1-rack7-host2-servo,chromeos1-poe-switch3,fa32
chromeos1-row1-rack7-host3-servo,chromeos1-poe-switch3,fa33
chromeos1-row1-rack7-host4-servo,chromeos1-poe-switch3,fa34
chromeos1-row1-rack7-host5-servo,chromeos1-poe-switch3,fa35
chromeos1-row1-rack7-host6-servo,chromeos1-poe-switch3,fa36
chromeos1-row1-rack8-host1-servo,chromeos1-poe-switch4,fa25
chromeos1-row1-rack8-host2-servo,chromeos1-poe-switch4,fa26
chromeos1-row1-rack8-host3-servo,chromeos1-poe-switch4,fa27
chromeos1-row1-rack8-host4-servo,chromeos1-poe-switch4,fa28
chromeos1-row1-rack8-host5-servo,chromeos1-poe-switch4,fa29
chromeos1-row1-rack8-host6-servo,chromeos1-poe-switch4,fa30
chromeos1-row1-rack9-host1-servo,chromeos1-poe-switch4,fa31
